"Anio","Mes","GLP","GasAviacion","GasSuperior","GasRegular","Kerosina","rTurboJet","Diesel","DieselLS","DieselULS","Bunker","Asfalto","PetCoke","AceitesLub","GrasasLub","Solventes","Naftas","Ceras","Butano","PetroleoReconst","MTBE","Orimulsion","MezclasOleosas","Total"
2014,6,359135.62,NA,404603.55,247114.99,67873.76,NA,694920.68,NA,NA,286478.99,5469.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065597.19
2014,7,417570.34,NA,558403.41,454196.13,66309.97,NA,845875.86,NA,NA,167316.42,3399.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2513071.83
2014,8,416068.3,356.6,398563.48,305285.53,170401.29,NA,760353.37,NA,NA,477014.48,1736.4,151264.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2681043.91
2014,9,408998.93,358.6,547486.22,378741.56,13079.9,NA,598145.89,NA,NA,368203.04,2799.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2317813.24
2014,10,314868.89,4466.9,379572.07,256340.49,20828.7,NA,762763.24,NA,NA,230129.08,3367.86,161718.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2134055.27
2014,11,487343.72,NA,533524.4,372809.93,79078.42,NA,1033873.16,NA,NA,243197.44,4294.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2754121.68
2014,12,380185.96,27979.07,583081.57,491072.11,124619.87,NA,1004032.65,NA,NA,91348.4,48364.5,152365.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2903049.86
2015,1,523352.31,NA,471973.3,371420.59,19111.3,NA,1324421.96,NA,NA,245584.89,142.9,148594.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3104601.52
2015,2,421268.22,NA,664315.85,548714.53,170853.82,NA,955286.02,NA,NA,162224.95,3349.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2926012.44
2015,3,497168.6,NA,622883.1,453536.19,90955.77,NA,1164885.97,NA,NA,280843.31,8319.11,164423.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283015.37
2015,4,519603.84,NA,599558.55,537064.59,108382.5,NA,1130870.79,NA,NA,304405.66,15358.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3215244.26
